Sample ID,Au,Ag,As,Bi,Cu,Pb,Sb,Zn
T0145,0.15,1.08,2.6,1.53,178.5,47.3,0.11,191
T0146,0.16,1.24,3.7,2.18,313,67.6,0.16,222
T0147,0.07,2.05,4.2,1.54,324,64,0.12,366
T0148,0.39,3.27,10.3,5.25,473,103.5,0.29,389
T0149,0.16,4.15,18.4,2.47,500,117,0.36,175
T0150,0.1,4.76,17.4,1.96,595,210,0.59,176
T0151,0.17,5.99,22.2,1.45,565,90.3,0.6,157
T0152,0.14,7.1,25.2,1.1,613,75,1.03,190
T0153,0.09,4.44,11.8,2.16,388,148.5,0.44,244
T0154,0.02,2.98,21.2,0.53,166.5,175,0.33,172
T0155,6.27,101,165,2120,3500,10001,10.25,500
T0156,0.34,25.8,12.3,75.4,861,2720,0.64,1220
T0157,0.82,19.05,5.5,84.3,473,834,0.48,795
